Date,Source,Site.ID,POC,Daily.Max.1.hour.NO2.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/11/2016,AQS,360050110,1,19.1,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/12/2016,AQS,360050110,1,51.8,ppb,48,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/13/2016,AQS,360050110,1,21.5,ppb,20,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/14/2016,AQS,360050110,1,41.4,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/15/2016,AQS,360050110,1,54.7,ppb,51,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/16/2016,AQS,360050110,1,30.2,ppb,28,IS 52,22,92,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/17/2016,AQS,360050110,1,29.2,ppb,27,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/18/2016,AQS,360050110,1,24.1,ppb,23,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/19/2016,AQS,360050110,1,23.1,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/20/2016,AQS,360050110,1,30.4,ppb,28,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/21/2016,AQS,360050110,1,32.1,ppb,30,IS 52,20,83,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/22/2016,AQS,360050110,1,33.7,ppb,31,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/23/2016,AQS,360050110,1,21.2,ppb,20,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/24/2016,AQS,360050110,1,33.5,ppb,31,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/25/2016,AQS,360050110,1,51.1,ppb,48,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/26/2016,AQS,360050110,1,51.2,ppb,48,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/27/2016,AQS,360050110,1,43.6,ppb,41,IS 52,23,96,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/28/2016,AQS,360050110,1,63,ppb,61,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/29/2016,AQS,360050110,1,47.8,ppb,44,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/30/2016,AQS,360050110,1,26.5,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/31/2016,AQS,360050110,1,48.2,ppb,45,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/1/2016,AQS,360050110,1,47.7,ppb,44,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/2/2016,AQS,360050110,1,49.4,ppb,46,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/3/2016,AQS,360050110,1,51.1,ppb,48,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/4/2016,AQS,360050110,1,37.8,ppb,35,IS 52,20,83,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/5/2016,AQS,360050110,1,23.5,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/6/2016,AQS,360050110,1,32,ppb,30,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/7/2016,AQS,360050110,1,37.8,ppb,35,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/8/2016,AQS,360050110,1,20.6,ppb,19,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/9/2016,AQS,360050110,1,41.7,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/10/2016,AQS,360050110,1,44.8,ppb,42,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/11/2016,AQS,360050110,1,17.9,ppb,16,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/12/2016,AQS,360050110,1,33.9,ppb,31,IS 52,22,92,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/13/2016,AQS,360050110,1,23.8,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/14/2016,AQS,360050110,1,24.5,ppb,23,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/15/2016,AQS,360050110,1,39.2,ppb,37,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/16/2016,AQS,360050110,1,48.3,ppb,45,IS 52,19,79,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/17/2016,AQS,360050110,1,26.1,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/18/2016,AQS,360050110,1,20.9,ppb,19,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/19/2016,AQS,360050110,1,41.1,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/20/2016,AQS,360050110,1,33.9,ppb,31,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/21/2016,AQS,360050110,1,43.9,ppb,41,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/22/2016,AQS,360050110,1,41.3,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/23/2016,AQS,360050110,1,24.7,ppb,23,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/24/2016,AQS,360050110,1,45.1,ppb,42,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/25/2016,AQS,360050110,1,35.1,ppb,33,IS 52,21,88,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/26/2016,AQS,360050110,1,16.2,ppb,15,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/27/2016,AQS,360050110,1,26.5,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/28/2016,AQS,360050110,1,36.5,ppb,34,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
2/29/2016,AQS,360050110,1,51.1,ppb,48,IS 52,19,79,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/1/2016,AQS,360050110,1,28.1,ppb,26,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/2/2016,AQS,360050110,1,22.5,ppb,21,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/3/2016,AQS,360050110,1,31.4,ppb,29,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/4/2016,AQS,360050110,1,28.7,ppb,26,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/5/2016,AQS,360050110,1,38.2,ppb,36,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/6/2016,AQS,360050110,1,51.6,ppb,48,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/7/2016,AQS,360050110,1,44.8,ppb,42,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/8/2016,AQS,360050110,1,60.1,ppb,57,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/9/2016,AQS,360050110,1,75.9,ppb,73,IS 52,21,88,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/10/2016,AQS,360050110,1,48.6,ppb,45,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/11/2016,AQS,360050110,1,31.5,ppb,29,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/12/2016,AQS,360050110,1,37.9,ppb,35,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/13/2016,AQS,360050110,1,36.8,ppb,34,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/14/2016,AQS,360050110,1,25.7,ppb,24,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/15/2016,AQS,360050110,1,44.2,ppb,42,IS 52,21,88,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/16/2016,AQS,360050110,1,59.5,ppb,56,IS 52,18,75,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/17/2016,AQS,360050110,1,41.9,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/18/2016,AQS,360050110,1,26.4,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/19/2016,AQS,360050110,1,32.1,ppb,30,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/20/2016,AQS,360050110,1,20.2,ppb,19,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/21/2016,AQS,360050110,1,34.9,ppb,32,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/22/2016,AQS,360050110,1,32.9,ppb,30,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/23/2016,AQS,360050110,1,60.8,ppb,57,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/24/2016,AQS,360050110,1,17.9,ppb,16,IS 52,23,96,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/25/2016,AQS,360050110,1,46.1,ppb,43,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/26/2016,AQS,360050110,1,15.5,ppb,14,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/27/2016,AQS,360050110,1,17.3,ppb,16,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/28/2016,AQS,360050110,1,27.6,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/29/2016,AQS,360050110,1,14.4,ppb,13,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/30/2016,AQS,360050110,1,38.1,ppb,36,IS 52,19,79,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
3/31/2016,AQS,360050110,1,45.6,ppb,42,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/1/2016,AQS,360050110,1,46.1,ppb,43,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/2/2016,AQS,360050110,1,26.1,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/3/2016,AQS,360050110,1,15.5,ppb,14,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/4/2016,AQS,360050110,1,39.4,ppb,37,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/5/2016,AQS,360050110,1,19.2,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/6/2016,AQS,360050110,1,44.5,ppb,42,IS 52,22,92,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/7/2016,AQS,360050110,1,35.5,ppb,33,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/8/2016,AQS,360050110,1,23.7,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/9/2016,AQS,360050110,1,41.2,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/10/2016,AQS,360050110,1,28.6,ppb,26,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/11/2016,AQS,360050110,1,34.9,ppb,32,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/12/2016,AQS,360050110,1,46.7,ppb,43,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/13/2016,AQS,360050110,1,46.8,ppb,43,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/14/2016,AQS,360050110,1,46.9,ppb,43,IS 52,19,79,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/15/2016,AQS,360050110,1,40.5,ppb,38,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/16/2016,AQS,360050110,1,34.6,ppb,32,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/17/2016,AQS,360050110,1,36.3,ppb,34,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/18/2016,AQS,360050110,1,54.2,ppb,51,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/19/2016,AQS,360050110,1,42.9,ppb,40,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/20/2016,AQS,360050110,1,43.6,ppb,41,IS 52,23,96,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/21/2016,AQS,360050110,1,46.5,ppb,43,IS 52,21,88,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/22/2016,AQS,360050110,1,50.9,ppb,47,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/23/2016,AQS,360050110,1,17.3,ppb,16,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/24/2016,AQS,360050110,1,32.2,ppb,30,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/25/2016,AQS,360050110,1,41.7,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/26/2016,AQS,360050110,1,19.2,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/27/2016,AQS,360050110,1,29.8,ppb,27,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/28/2016,AQS,360050110,1,26.5,ppb,25,IS 52,19,79,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/29/2016,AQS,360050110,1,19.5,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
4/30/2016,AQS,360050110,1,17.7,ppb,16,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/1/2016,AQS,360050110,1,16.8,ppb,15,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/2/2016,AQS,360050110,1,48.7,ppb,45,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/3/2016,AQS,360050110,1,34.7,ppb,32,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/4/2016,AQS,360050110,1,23.1,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/5/2016,AQS,360050110,1,20.2,ppb,19,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/6/2016,AQS,360050110,1,20.1,ppb,19,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/7/2016,AQS,360050110,1,30.2,ppb,28,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/8/2016,AQS,360050110,1,27.2,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/9/2016,AQS,360050110,1,35.4,ppb,33,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/10/2016,AQS,360050110,1,28.7,ppb,26,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/12/2016,AQS,360050110,1,57.5,ppb,54,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
5/13/2016,AQS,360050110,1,55.8,ppb,52,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
